항목명,코드,코드의미 및 단위
직장산업대분류코드,A,"농업, 임업, 어업"
직장산업대분류코드,B,광업
직장산업대분류코드,C,제조업
직장산업대분류코드,D,"전기, 가스, 증기 및 공기조절 공급업"
직장산업대분류코드,E,"수도, 하수 및 폐기물 처리, 원료 재생업"
직장산업대분류코드,F,건설업
직장산업대분류코드,G,도매 및 소매업
직장산업대분류코드,H,운수 및 창고업
직장산업대분류코드,I,숙박 및 음식점업
직장산업대분류코드,J,정보통신업
직장산업대분류코드,K,금융 및 보험업
직장산업대분류코드,L,부동산업
직장산업대분류코드,M,"전문, 과학 및 기술 서비스업"
직장산업대분류코드,N,"사업시설 관리,  사업지원 및 임대 서비스업"
직장산업대분류코드,O,"공공행정, 국방 및 사회보장 행정"
직장산업대분류코드,P,교육 서비스업
직장산업대분류코드,Q,보건업 및 사회복지 서비스업
직장산업대분류코드,R,"예술, 스포츠 및 여가관련 서비스업"
직장산업대분류코드,S,"협회 및 단체, 수리  및 기타 개인 서비스업"
직장산업대분류코드,T,가구내 고용활동 및 달리 분류되지 않은 자가소비 생산활동
직장산업대분류코드,U,국제 및 외국기관
직업대분류코드,1,관리자
직업대분류코드,2,전문가 및 관련 종사자
직업대분류코드,3,사무 종사자
직업대분류코드,4,서비스 종사자
직업대분류코드,5,판매 종사자
